CHAR_ID	Sub-Saharan Africa	North America and Australasia	East Asia	Europe	South and Central America	North Africa and Middle East	South Asia	Caribbean
10	0	2	0	2	0	0	0	0
1001	0	2	0	0	0	0	0	0
10010	0	1	0	0	0	0	0	0
10012	0	1	0	0	0	0	0	0
10013	0	3	0	1	0	0	2	0
10015	0	1	0	0	0	0	0	0
10018	0	3	0	0	0	0	1	0
10019	0	3	0	1	0	0	0	0
10023	0	4	0	0	0	0	0	0
10029	0	0	0	1	0	0	0	0
1003	0	7	0	2	0	0	0	0
10030	0	1	0	3	0	0	0	0
10031	0	0	0	1	0	0	0	0
10033	0	0	0	2	0	0	1	0
10035	0	0	0	2	0	0	0	0
10037	0	0	1	0	0	0	1	0
10038	0	1	0	0	0	0	0	0
1004	0	4	0	0	0	0	0	0
10040	0	3	1	0	0	0	0	0
10043	0	7	3	0	1	0	1	0
10045	0	0	1	0	0	0	0	0
10047	0	0	3	0	1	0	0	0
10049	0	0	1	0	0	0	0	0
1005	0	1	0	0	0	0	0	0
10051	1	7	2	0	0	0	0	0
10052	0	1	0	0	0	0	0	0
10054	0	2	0	0	0	1	1	0
10055	0	0	1	0	0	0	0	0
10056	0	4	2	0	1	0	0	0
10057	0	0	1	0	0	0	0	0
10059	0	0	0	1	0	0	0	0
1006	0	9	1	1	1	1	0	0
1007	0	1	0	1	0	0	0	0
10070	0	1	0	0	0	0	0	0
10076	0	2	0	0	0	0	1	0
10077	0	0	0	0	0	0	1	0
1008	0	2	0	0	0	0	0	0
10080	0	1	0	0	0	0	0	0
10085	0	0	0	1	0	0	0	0
10087	0	1	0	0	0	0	0	0
10088	0	1	0	0	0	0	0	0
10089	1	0	0	0	0	0	0	0
10154	0	1	0	0	1	0	0	0
10156	0	1	0	0	0	0	0	0
10161	0	0	0	1	0	0	0	0
10162	0	4	0	2	1	0	0	0
10163	0	1	0	0	0	0	0	0
10164	0	1	0	0	0	0	0	0
10167	0	2	0	0	0	0	0	0
10169	0	0	0	1	0	0	0	0
10173	0	0	0	2	0	0	0	0
10174	0	1	0	1	0	0	0	0
10175	1	0	1	3	1	0	0	0
10176	0	2	0	3	0	0	0	0
10177	0	0	0	2	0	0	0	0
10179	0	0	0	1	0	0	0	0
10180	0	0	0	2	0	0	0	0
10181	0	0	0	1	0	0	0	0
10182	0	1	0	2	0	0	0	0
10187	0	0	0	1	0	0	0	0
1019	0	4	0	1	0	0	0	0
102	0	1	0	0	0	0	0	0
1020	0	0	0	1	0	0	0	0
10204	0	0	0	1	0	0	0	0
10206	0	2	0	1	0	0	0	0
10209	0	1	0	0	0	0	0	0
1021	0	1	0	0	0	0	0	0
10211	0	4	0	2	0	0	0	0
10217	0	1	0	0	0	0	0	0
10218	0	8	0	2	1	0	0	0
10219	0	3	0	1	1	0	0	0
10221	0	0	0	1	0	0	0	0
10222	0	0	0	1	0	0	0	0
10223	0	2	1	0	0	0	0	0
10224	0	4	0	0	1	0	0	0
10225	0	2	0	0	0	0	0	0
10227	0	3	0	0	1	0	0	0
10228	0	1	0	0	0	0	0	0
10230	0	1	0	0	0	0	0	0
10232	0	3	0	0	1	0	0	0
10233	0	1	0	0	0	0	0	0
10234	0	1	0	0	0	0	0	0
10235	0	2	0	0	0	0	0	0
10239	0	0	0	0	0	0	0	1
10243	0	0	0	1	0	0	0	0
10244	0	1	0	0	0	0	0	0
10257	0	2	0	2	0	0	0	0
10261	0	0	0	1	0	0	0	0
10262	0	0	0	3	0	0	0	0
10263	0	1	0	1	0	0	0	0
10268	0	0	0	1	0	0	0	0
10269	0	0	0	0	1	0	0	0
10274	0	1	0	0	0	0	0	0
10277	1	0	0	2	0	0	0	0
10278	0	3	1	1	0	0	0	0
10279	0	0	0	1	0	0	0	0
1028	0	0	0	1	0	0	0	0
10281	0	2	0	2	0	0	0	0
10284	0	1	0	0	0	0	0	0
10285	0	2	0	2	0	0	0	0
10286	0	3	0	0	0	0	0	0
10287	0	0	0	0	0	1	0	0
10288	0	1	0	0	0	1	0	0
10289	0	4	0	0	0	0	0	0
10294	0	0	0	1	0	0	0	0
10297	0	1	0	1	0	0	0	0
10298	0	3	0	2	1	0	0	0
103	0	5	0	0	0	0	0	0
10306	0	1	0	1	0	0	0	0
10307	0	0	0	1	0	0	0	0
10313	0	0	0	2	1	0	1	0
10319	0	1	0	0	0	0	0	0
10321	0	5	0	1	0	0	0	0
10325	0	2	0	0	0	0	0	0
10326	0	2	0	1	0	0	0	0
10327	0	0	0	1	0	0	0	0
10332	0	2	0	0	0	0	0	0
10333	0	0	0	0	0	0	0	0
10334	0	2	0	0	0	0	0	0
10335	0	1	0	0	0	0	0	0
10336	0	1	0	0	0	0	0	0
10337	0	5	0	1	0	0	0	0
10338	0	1	0	0	0	0	0	0
10339	0	0	1	0	0	0	0	0
10340	0	2	0	1	0	0	0	0
10341	0	3	0	0	0	0	0	0
10343	0	1	0	1	0	0	0	0
10355	0	0	0	1	0	0	0	0
10363	0	4	0	1	0	0	0	0
10364	0	0	0	1	1	0	0	0
10365	0	5	0	1	2	0	0	0
10367	0	1	0	0	1	0	0	0
10370	0	1	0	0	0	8	0	1
10372	0	0	0	0	0	1	0	1
10373	0	1	0	0	0	6	0	0
10378	0	1	0	0	0	0	0	0
10379	1	0	0	0	0	0	0	0
10381	0	1	0	1	0	0	0	0
10385	0	1	0	0	0	0	0	0
10386	0	2	0	1	0	0	0	0
1039	0	1	0	0	0	0	0	0
10391	0	2	0	0	0	0	0	0
10395	0	2	0	0	0	0	0	0
10401	0	1	0	0	1	0	0	0
10402	0	2	0	0	0	0	0	0
10403	0	1	0	0	0	0	0	0
10404	0	3	0	0	0	0	0	0
10406	0	1	0	0	0	0	0	0
10420	0	1	0	0	0	0	0	0
10422	0	2	0	0	0	0	0	0
10424	0	1	0	2	0	0	0	0
10425	0	1	0	0	0	0	0	0
10428	0	7	0	0	0	0	0	0
10429	0	1	0	0	0	0	0	0
1043	0	2	0	0	0	0	0	0
10430	0	4	0	0	0	0	0	0
10433	0	1	0	0	0	0	0	0
10434	0	1	0	0	0	0	0	0
10435	0	6	0	0	0	0	0	0
10436	0	7	0	0	0	0	0	0
10438	0	1	0	0	0	0	0	0
10439	0	2	0	0	0	0	0	0
10440	0	3	0	1	0	0	0	0
10441	0	1	0	0	0	0	0	0
10444	0	2	0	1	0	0	0	0
10445	0	1	0	0	0	0	0	0
10451	0	2	0	0	0	0	0	0
10452	0	1	0	1	0	0	0	0
10454	0	2	0	0	0	0	0	0
10459	0	1	0	0	0	0	0	0
10460	0	1	0	0	0	0	0	0
10461	0	0	0	1	0	0	0	0
10462	0	0	0	1	0	0	0	0
10463	0	1	0	0	0	0	0	0
10466	0	1	0	0	0	0	0	0
10471	0	1	0	1	0	0	0	0
10475	0	0	0	1	0	0	0	0
10477	0	1	0	1	0	0	0	0
10479	0	0	0	1	0	0	0	0
10485	0	0	0	2	0	0	4	0
10486	0	0	0	0	0	0	1	0
10488	0	0	0	1	0	0	2	0
10490	0	0	0	0	0	0	2	0
10492	0	1	0	0	0	0	0	0
10493	0	1	1	1	0	0	2	0
105	0	2	0	0	0	0	0	0
10538	0	1	0	0	0	0	0	0
10545	0	1	1	0	1	0	0	0
10547	0	1	0	0	0	0	0	0
